loss,reward,episode,frame_number,epsilon,q_vals
0,0.0,0,1016,1.0,0
0,0.0,0,1020,1.0,0
0,0.0,0,1024,1.0,0
0,0.0,0,1028,1.0,0
0,0.0,0,1032,1.0,0
0,0.0,0,1036,1.0,0
0,0.0,0,1040,1.0,0
0,0.0,0,1044,1.0,0
0,0.0,0,1048,1.0,0
0,0.0,0,1052,1.0,0
0,0.0,0,1056,1.0,0
0,0.0,0,1060,1.0,0
0,0.0,0,1064,1.0,0
0,0.0,0,1068,1.0,0
0,0.0,0,1072,1.0,0
0,0.0,0,1076,1.0,0
0,0.0,0,1080,1.0,0
0,0.0,0,1084,1.0,0
0,0.0,0,1088,1.0,0
0,0.0,0,1092,1.0,0
0,0.0,0,1096,1.0,0
0,0.0,0,1100,1.0,0
0,0.0,0,1104,1.0,0
0,0.0,0,1108,1.0,0
0,0.0,0,1112,1.0,0
0,0.0,0,1116,1.0,0
0,0.0,0,1120,1.0,0
0,0.0,0,1124,1.0,0
0,0.0,0,1128,1.0,0
0,0.0,0,1132,1.0,0
0,0.0,0,1136,1.0,0
0,0.0,0,1140,1.0,0
0,0.0,0,1144,1.0,0
0,0.0,0,1148,1.0,0
0,0.0,0,1152,1.0,0
0,0.0,0,1156,1.0,0
0,0.0,0,1160,1.0,0
0,0.0,0,1164,1.0,0
0,0.0,0,1168,1.0,0
0,0.0,0,1172,1.0,0
0,0.0,0,1176,1.0,0
0,0.0,0,1180,1.0,0
0,0.0,0,1184,1.0,0
0,0.0,0,1188,1.0,0
0,0.0,0,1192,1.0,0
0,0.0,0,1196,1.0,0
0,0.0,0,1200,1.0,0
0,0.0,0,1204,0.98,0
0,0.02,0,1208,0.98,0
0,0.0,0,1212,0.98,0
0,0.0,0,1216,0.98,0
0,0.0,0,1220,0.98,0
0,0.0,0,1224,0.98,0
0,0.0,0,1228,0.98,0
0,0.0,0,1232,0.98,0
0,0.0,0,1236,0.98,0
0,0.0,0,1240,0.98,0
0,0.0,0,1244,0.98,0
0,0.0,0,1248,0.98,0
0,0.0,0,1252,0.98,0
0,0.0,0,1256,0.98,0
0,0.0,0,1260,0.98,0
0,0.0,0,1264,0.98,0
0,0.0,0,1268,0.98,0
0,0.0,0,1272,0.98,0
0,0.0,0,1276,0.98,0
0,0.0,0,1280,0.98,0
0,0.0,0,1284,0.98,0
0,0.0,0,1288,0.98,0
0,0.0,0,1292,0.98,0
0,0.0,0,1296,0.98,0
0,0.0,0,1300,0.98,0
0,0.0,0,1304,0.98,0
0,0.0,0,1308,0.98,0
0,0.0,0,1312,0.98,0
0,0.0,0,1316,0.98,0
0,0.0,0,1320,0.98,0
0,0.0,0,1324,0.98,0
0,0.0,0,1328,0.98,0
0,0.0,0,1332,0.98,0
0,0.0,0,1336,0.98,0
0,0.0,0,1340,0.98,0
0,0.0,0,1344,0.98,0
0,0.0,0,1348,0.98,0
0,0.0,0,1352,0.98,0
0,0.0,0,1356,0.98,0
0,0.0,0,1360,0.98,0
0,0.0,0,1364,0.98,0
0,0.0,0,1368,0.98,0
0,0.0,0,1372,0.98,0
0,0.0,0,1376,0.98,0
0,0.0,0,1380,0.98,0
0,0.0,0,1384,0.98,0
0,0.0,0,1388,0.98,0
0,0.0,0,1392,0.98,0
0,0.0,0,1396,0.98,0
0,0.0,0,1400,0.98,0
0,0.0,0,1404,0.98,0
0,0.0,0,1408,0.98,0
0,0.0,0,1412,0.98,0
0,0.0,0,1416,0.98,0
0,0.0,0,1420,0.98,0
0,0.0,0,1424,0.98,0
0,0.0,0,1428,0.98,0
0,0.0,0,1432,0.98,0
0,0.0,0,1436,0.98,0
0,0.0,0,1440,0.98,0
0,0.0,0,1444,0.98,0
0,0.0,0,1448,0.98,0
0,0.0,0,1452,0.98,0
0,0.0,0,1456,0.98,0
0,0.0,0,1460,0.98,0
0,0.0,0,1464,0.98,0
0,0.0,0,1468,0.98,0
0,0.0,0,1472,0.98,0
0,0.0,0,1476,0.98,0
0,0.0,0,1480,0.98,0
0,0.0,0,1484,0.98,0
0,0.0,0,1488,0.98,0
0,0.0,0,1492,0.98,0
0,0.0,0,1496,0.98,0
0,0.0,0,1500,0.98,0
0,0.0,0,1504,0.98,0
0,0.0,0,1508,0.98,0
0,0.0,0,1512,0.98,0
0,0.0,0,1516,0.98,0
0,0.0,0,1520,0.98,0
2149,0.0,0,1524,0.98,0
1713,0.0,0,1528,0.98,0
1395,0.0,0,1532,0.98,0
1077,0.0,0,1536,0.98,0
768,0.0,0,1540,0.98,0
502,0.0,0,1544,0.98,0
295,0.0,0,1548,0.98,0
190,-0.0001,0,1552,0.98,0
206,0.0,0,1556,0.98,0
248,0.0,0,1560,0.98,0
217,0.0,0,1564,0.98,0
145,0.0,0,1568,0.98,0
70,-0.0001,0,1572,0.98,0
28,0.0,0,1576,0.98,0
16,0.0,0,1580,0.98,0
26,0.0,0,1584,0.98,0
44,0.0,0,1588,0.98,0
59,0.0,0,1592,0.98,0
67,0.0,0,1596,0.98,0
64,0.0,0,1600,0.98,0
56,0.0,0,1604,0.98,0
42,0.0,0,1608,0.98,0
32,-0.0001,0,1612,0.98,0
22,0.0,0,1616,0.98,0
17,0.0,0,1620,0.98,0
14,0.0,0,1624,0.98,0
16,0.0,0,1628,0.98,0
17,-0.0001,0,1632,0.98,0
18,0.0,0,1636,0.98,0
15,0.0,0,1640,0.98,0
12,0.0,0,1644,0.98,0
8,0.0,0,1648,0.98,0
6,-0.0001,0,1652,0.98,0
5,0.0,0,1656,0.98,0
6,0.0,0,1660,0.98,0
7,0.0,0,1664,0.98,0
9,0.0,0,1668,0.98,0
9,-0.0001,0,1672,0.98,0
9,0.0,0,1676,0.98,0
7,0.0,0,1680,0.98,0
6,0.0,0,1684,0.98,0
4,0.0,0,1688,0.98,0
3,-0.0001,0,1692,0.98,0
2,0.0,0,1696,0.98,0
2,0.0,0,1700,0.98,0
2,0.0,0,1704,0.98,0
3,0.0,0,1708,0.98,0
3,-0.0001,0,1712,0.98,0
3,0.0,0,1716,0.98,0
3,0.0,0,1720,0.98,0
3,0.0,0,1724,0.98,0
2,0.0,0,1728,0.98,0
2,0.0,0,1732,0.98,0
1,0.0,0,1736,0.98,0
2,0.0,0,1740,0.98,0
2,0.0,0,1744,0.98,0
1,0.0,0,1748,0.98,0
2,0.0,0,1752,0.98,0
2,0.0,0,1756,0.98,0
1,0.0,0,1760,0.98,0
1,0.0,0,1764,0.98,0
1,0.0,0,1768,0.98,0
1,0.0,0,1772,0.98,0
1,0.0,0,1776,0.98,0
1,0.0,0,1780,0.98,0
